driver_id,first_name,last_name,full_name,email,phone,city,state,market,cdl_type,vehicle_type,experience,status,rating,total_deliveries,total_routes_completed,on_time_percentage,completion_rate,background_check,drug_screen,mvr_status,fully_cleared,hourly_rate_usd,total_deployments,date_joined,last_active,available_from,fedex_isp_experience,willing_to_relocate,notes
RR-00210,Timothy,Barnes,Timothy Barnes,barnes.t@hotmail.com,(355) 264-2668,Boston,MA,"Boston, MA",CDL-B,Step Van,7-10 Years,CLEARED,5.0,986,98,92.3,95.8,PASSED,PASSED,CLEAN,YES,22.33,4,2025-04-22,2026-04-01,2026-04-14,NO,YES,
RR-00211,Andre,Torres,Andre Torres,torres.a@gmail.com,(258) 842-1532,Jacksonville,FL,"Jacksonville, FL",CDL-B,Cargo Van,5-7 Years,STANDBY,3.9,2037,42,89.7,94.0,PASSED,PASSED,CLEAN,YES,22.3,12,2025-10-23,2026-04-02,2026-04-18,YES,NO,
RR-00212,Nicole,Bell,Nicole Bell,nicole.bell@hotmail.com,(916) 807-2610,Charlotte,NC,"Charlotte, NC",CDL-A,Box Truck,3-5 Years,STANDBY,3.7,1076,504,90.9,97.4,PASSED,PENDING,CLEAN,NO,33.08,2,2025-10-24,2026-03-27,2026-04-15,YES,YES,
RR-00213,Rosa,Clark,Rosa Clark,rosa_clark@outlook.com,(975) 674-2520,Los Angeles,CA,"Los Angeles, CA",CDL-B,Box Truck,1-2 Years,IN_REVIEW,4.7,2108,101,94.9,98.5,PASSED,PASSED,CLEAN,YES,25.11,7,2026-01-21,2026-03-10,2026-04-13,NO,NO,
RR-00214,Gabriela,Cox,Gabriela Cox,gabriela13@gmail.com,(452) 857-9865,Los Angeles,CA,"Los Angeles, CA",CDL-B,Step Van,2-3 Years,CLEARED,4.3,1185,299,92.1,93.4,PASSED,PASSED,CLEAN,YES,22.97,6,2025-06-28,2026-03-29,2026-04-19,NO,YES,
RR-00215,Diego,Flores,Diego Flores,diego_flores@yahoo.com,(976) 759-9555,Las Vegas,NV,"Las Vegas, NV",CDL-B,Cargo Van,5-7 Years,CLEARED,3.8,713,16,89.5,92.8,PASSED,PASSED,MINOR_VIOLATION,YES,25.59,9,2026-03-01,2026-03-25,2026-04-14,YES,NO,
RR-00216,Gina,Hall,Gina Hall,hall.g@outlook.com,(634) 589-8998,Jacksonville,FL,"Jacksonville, FL",CDL-A,Box Truck,3-5 Years,CLEARED,4.4,1827,608,93.5,96.3,PASSED,PASSED,CLEAN,YES,24.3,0,2025-06-04,2026-03-20,2026-04-13,YES,YES,
RR-00217,Stephanie,Gonzalez,Stephanie Gonzalez,stephanie_gonzalez@yahoo.com,(451) 261-1458,Tampa,FL,"Tampa, FL",CDL-B,Cargo Van,5-7 Years,CLEARED,5.0,330,186,98.8,95.4,PASSED,PENDING,CLEAN,NO,21.43,4,2026-01-20,2026-03-12,2026-04-12,YES,NO,
RR-00218,Clarence,Davis,Clarence Davis,clarence98@gmail.com,(956) 662-9358,New Orleans,LA,"New Orleans, LA",CDL-A,Box Truck,3-5 Years,CLEARED,4.8,817,581,96.0,94.4,PASSED,PENDING,MINOR_VIOLATION,NO,32.44,7,2025-08-10,2026-03-09,2026-04-13,YES,NO,
RR-00219,Terrance,Rogers,Terrance Rogers,terrance_rogers@gmail.com,(260) 928-5892,New Orleans,LA,"New Orleans, LA",CDL-B,Step Van,7-10 Years,MATCHING,3.0,4,336,89.2,93.3,PASSED,PASSED,CLEAN,YES,24.95,11,2025-05-28,2026-03-15,2026-04-17,YES,YES,
RR-00220,Dominic,Perez,Dominic Perez,dominic_perez@yahoo.com,(428) 535-2873,Jacksonville,FL,"Jacksonville, FL",CDL-A,Cargo Van,3-5 Years,CLEARED,3.9,1018,16,91.8,98.0,PENDING,PASSED,CLEAN,NO,25.29,7,2025-08-05,2026-04-04,2026-04-17,NO,NO,
RR-00221,Latoya,Moore,Latoya Moore,latoya_moore@icloud.com,(761) 788-8502,Phoenix,AZ,"Phoenix, AZ",CDL-B,Sprinter Van,3-5 Years,MATCHING,3.3,1353,493,98.7,98.1,PASSED,PASSED,CLEAN,YES,27.54,4,2025-11-13,2026-03-19,2026-04-12,NO,NO,
RR-00222,Earnest,Bennett,Earnest Bennett,earnest.bennett@yahoo.com,(695) 628-8690,Tampa,FL,"Tampa, FL",CDL-B,Sprinter Van,1-2 Years,MATCHING,4.1,245,323,88.5,97.9,PENDING,PASSED,MINOR_VIOLATION,NO,20.1,2,2025-10-17,2026-04-03,2026-04-16,YES,YES,
RR-00223,Lauren,Torres,Lauren Torres,lauren.torres@outlook.com,(627) 225-2150,Memphis,TN,"Memphis, TN",CDL-B,Step Van,2-3 Years,STANDBY,3.1,1295,308,90.8,94.8,PASSED,PASSED,CLEAN,YES,24.99,7,2025-12-17,2026-03-16,2026-04-11,YES,YES,
RR-00224,Chelsea,Peterson,Chelsea Peterson,peterson.c@yahoo.com,(750) 338-9830,Pittsburgh,PA,"Pittsburgh, PA",CDL-B,Box Truck,1-2 Years,CLEARED,4.9,1735,258,88.9,95.9,PASSED,PASSED,CLEAN,YES,19.39,15,2025-12-03,2026-03-27,2026-04-14,YES,NO,
RR-00225,Ryan,Price,Ryan Price,ryan812@yahoo.com,(808) 729-2883,Dallas,TX,"Dallas, TX",CDL-B,Step Van,10+ Years,STANDBY,4.1,623,218,99.0,95.6,PASSED,PASSED,CLEAN,YES,24.85,15,2026-02-25,2026-03-20,2026-04-18,YES,YES,
RR-00226,Justin,Ward,Justin Ward,justin.ward@outlook.com,(471) 445-7138,Nashville,TN,"Nashville, TN",CDL-A,Box Truck,2-3 Years,CLEARED,4.2,2164,428,88.7,93.9,PASSED,PASSED,CLEAN,YES,27.19,8,2025-06-21,2026-04-02,2026-04-10,YES,NO,
RR-00227,Sarah,Garcia,Sarah Garcia,sarah20@outlook.com,(324) 780-5941,Washington,DC,"Washington, DC",CDL-A,Step Van,1-2 Years,STANDBY,3.0,2379,121,99.2,96.2,PENDING,PASSED,CLEAN,NO,26.8,6,2025-09-02,2026-04-04,2026-04-13,YES,YES,
RR-00228,Shanice,Garcia,Shanice Garcia,shanice24@outlook.com,(224) 269-6275,Los Angeles,CA,"Los Angeles, CA",CDL-A,Step Van,5-7 Years,CLEARED,4.3,1904,302,89.1,94.1,PASSED,PASSED,CLEAN,YES,27.14,0,2025-11-23,2026-03-09,2026-04-19,YES,YES,
RR-00229,Yolanda,White,Yolanda White,yolanda_white@gmail.com,(986) 291-2098,Portland,OR,"Portland, OR",CDL-B,Cargo Van,3-5 Years,CLEARED,4.3,882,631,93.8,99.9,PASSED,PENDING,CLEAN,NO,25.04,5,2026-02-02,2026-03-19,2026-04-16,YES,NO,
RR-00230,Patrick,Cooper,Patrick Cooper,cooper.p@hotmail.com,(933) 409-1222,Phoenix,AZ,"Phoenix, AZ",CDL-B,Step Van,10+ Years,STANDBY,3.4,716,380,93.5,93.8,PASSED,PASSED,CLEAN,YES,18.26,11,2025-04-09,2026-03-19,2026-04-15,YES,YES,
RR-00231,Heather,Moore,Heather Moore,heather.moore@icloud.com,(549) 617-9048,Nashville,TN,"Nashville, TN",CDL-A,Step Van,3-5 Years,CLEARED,3.0,2097,26,89.4,96.4,PASSED,PASSED,CLEAN,YES,31.81,12,2025-07-16,2026-03-20,2026-04-16,NO,YES,
RR-00232,Kayla,Allen,Kayla Allen,kayla762@yahoo.com,(557) 932-9241,New York,NY,"New York, NY",CDL-B,Sprinter Van,3-5 Years,MATCHING,4.3,765,140,91.5,95.8,PASSED,PASSED,MINOR_VIOLATION,YES,19.95,5,2025-05-22,2026-03-08,2026-04-16,NO,NO,
RR-00233,Brittany,Mitchell,Brittany Mitchell,mitchell.b@outlook.com,(449) 718-8034,Detroit,MI,"Detroit, MI",CDL-B,Box Truck,5-7 Years,MATCHING,3.2,1320,13,98.4,96.7,PENDING,PASSED,CLEAN,NO,18.28,12,2025-08-13,2026-03-18,2026-04-13,YES,NO,
RR-00234,Ashley,Peterson,Ashley Peterson,ashley_peterson@hotmail.com,(819) 874-9650,Atlanta,GA,"Atlanta, GA",CDL-B,Box Truck,10+ Years,STANDBY,5.0,1400,531,98.0,98.2,PASSED,PASSED,CLEAN,YES,17.9,0,2026-02-25,2026-03-26,2026-04-06,NO,NO,
RR-00235,Ricardo,Edwards,Ricardo Edwards,ricardo.edwards@yahoo.com,(951) 612-2790,Denver,CO,"Denver, CO",CDL-A,Step Van,2-3 Years,IN_REVIEW,4.5,901,170,99.2,95.4,PASSED,PENDING,CLEAN,NO,32.78,14,2025-04-07,2026-03-09,2026-04-15,NO,NO,
RR-00236,Jessica,Hall,Jessica Hall,jessica.hall@gmail.com,(310) 682-5019,Los Angeles,CA,"Los Angeles, CA",CDL-B,Step Van,7-10 Years,CLEARED,4.8,1753,717,94.4,92.5,PASSED,PASSED,CLEAN,YES,21.64,13,2025-10-25,2026-03-25,2026-04-10,NO,YES,
RR-00237,Sarah,Martinez,Sarah Martinez,sarah.martinez@yahoo.com,(924) 663-5873,Chicago,IL,"Chicago, IL",CDL-B,Cargo Van,1-2 Years,IN_REVIEW,4.2,1184,265,95.5,96.8,PENDING,PASSED,CLEAN,NO,17.97,15,2025-06-26,2026-03-21,2026-04-06,YES,NO,
RR-00238,Raymond,Wright,Raymond Wright,raymond885@yahoo.com,(936) 728-3573,Memphis,TN,"Memphis, TN",CDL-B,Cargo Van,7-10 Years,MATCHING,4.1,1184,294,97.7,95.9,PASSED,PENDING,CLEAN,NO,21.86,8,2025-09-07,2026-04-01,2026-04-17,YES,YES,
RR-00239,Tamara,Baker,Tamara Baker,tamara_baker@outlook.com,(788) 834-9019,Memphis,TN,"Memphis, TN",CDL-B,Box Truck,5-7 Years,CLEARED,4.1,1020,251,89.9,95.4,PASSED,PENDING,MINOR_VIOLATION,NO,22.76,4,2026-02-20,2026-03-18,2026-04-10,YES,YES,
RR-00240,Brittany,Scott,Brittany Scott,brittany308@yahoo.com,(869) 485-6257,Miami,FL,"Miami, FL",CDL-B,Step Van,3-5 Years,CLEARED,4.2,2038,728,99.7,92.9,PASSED,PENDING,CLEAN,NO,19.53,3,2025-05-03,2026-03-17,2026-04-05,NO,YES,
RR-00241,Jeremy,Martin,Jeremy Martin,martin.j@icloud.com,(838) 845-3774,Tampa,FL,"Tampa, FL",CDL-B,Box Truck,1-2 Years,MATCHING,4.3,151,752,93.4,99.2,PENDING,PASSED,CLEAN,NO,22.24,8,2025-08-10,2026-03-13,2026-04-10,YES,NO,
RR-00242,Wesley,Lewis,Wesley Lewis,wesley_lewis@outlook.com,(223) 626-1715,Seattle,WA,"Seattle, WA",CDL-B,Box Truck,10+ Years,IN_REVIEW,5.0,1034,510,98.2,99.2,PASSED,PASSED,CLEAN,YES,20.29,9,2025-10-11,2026-03-10,2026-04-19,YES,NO,
RR-00243,Adam,Johnson,Adam Johnson,adam_johnson@gmail.com,(580) 458-5076,Denver,CO,"Denver, CO",CDL-A,Step Van,2-3 Years,IN_REVIEW,5.0,1540,31,99.9,99.6,PENDING,PASSED,CLEAN,NO,34.08,10,2025-09-25,2026-03-09,2026-04-14,YES,NO,
RR-00244,Timothy,King,Timothy King,timothy710@hotmail.com,(572) 830-7667,Miami,FL,"Miami, FL",CDL-B,Box Truck,5-7 Years,STANDBY,4.3,1321,172,99.0,94.6,PASSED,PASSED,CLEAN,YES,17.74,5,2025-06-15,2026-03-09,2026-04-17,NO,YES,
RR-00245,Luis,Roberts,Luis Roberts,luis261@hotmail.com,(559) 529-3230,San Antonio,TX,"San Antonio, TX",CDL-B,Box Truck,3-5 Years,MATCHING,4.2,167,513,94.2,96.5,PASSED,PASSED,CLEAN,YES,20.45,12,2025-05-09,2026-03-11,2026-04-09,YES,YES,
RR-00246,Monique,Baker,Monique Baker,monique.baker@hotmail.com,(334) 671-9438,Phoenix,AZ,"Phoenix, AZ",CDL-B,Box Truck,7-10 Years,STANDBY,3.3,537,300,99.3,97.5,PASSED,PENDING,MINOR_VIOLATION,NO,27.2,9,2025-10-10,2026-03-17,2026-04-19,YES,YES,
RR-00247,Juan,Butler,Juan Butler,juan.butler@hotmail.com,(474) 507-5814,Phoenix,AZ,"Phoenix, AZ",CDL-A,Box Truck,3-5 Years,MATCHING,4.8,274,451,98.8,96.2,PENDING,PASSED,CLEAN,NO,30.8,11,2025-08-22,2026-03-25,2026-04-12,YES,NO,
RR-00248,Amanda,Wood,Amanda Wood,wood.a@hotmail.com,(812) 708-2164,Philadelphia,PA,"Philadelphia, PA",CDL-B,Step Van,2-3 Years,MATCHING,4.8,1136,238,89.4,94.0,PASSED,PASSED,MINOR_VIOLATION,YES,25.79,15,2025-06-18,2026-03-12,2026-04-16,YES,NO,
RR-00249,Emily,King,Emily King,king.e@yahoo.com,(460) 650-1592,Chicago,IL,"Chicago, IL",CDL-B,Box Truck,2-3 Years,CLEARED,4.6,600,637,99.7,94.0,PASSED,PASSED,CLEAN,YES,21.95,8,2025-09-09,2026-03-09,2026-04-18,NO,YES,
RR-00250,Chelsea,Carter,Chelsea Carter,carter.c@yahoo.com,(995) 603-6100,Houston,TX,"Houston, TX",CDL-A,Cargo Van,1-2 Years,STANDBY,4.2,260,30,88.1,92.1,PENDING,PASSED,MINOR_VIOLATION,NO,30.59,1,2025-10-03,2026-03-27,2026-04-18,NO,YES,
RR-00251,Tiffany,Martinez,Tiffany Martinez,tiffany_martinez@outlook.com,(678) 612-1921,Kansas City,MO,"Kansas City, MO",CDL-A,Cargo Van,3-5 Years,CLEARED,5.0,1381,741,90.9,97.4,PASSED,PASSED,MINOR_VIOLATION,YES,27.64,13,2025-11-30,2026-03-14,2026-04-05,YES,NO,
RR-00252,Rhonda,Long,Rhonda Long,rhonda.long@outlook.com,(920) 532-1641,Washington,DC,"Washington, DC",CDL-A,Step Van,2-3 Years,MATCHING,5.0,609,576,95.2,93.1,PASSED,PASSED,MINOR_VIOLATION,YES,22.67,0,2025-11-01,2026-03-11,2026-04-06,YES,NO,
RR-00253,Matthew,Nelson,Matthew Nelson,matthew.nelson@hotmail.com,(773) 756-5342,Pittsburgh,PA,"Pittsburgh, PA",CDL-B,Box Truck,10+ Years,CLEARED,3.8,1592,150,88.9,95.9,PASSED,PENDING,CLEAN,NO,23.09,1,2025-10-31,2026-04-03,2026-04-06,NO,YES,
RR-00254,David,Hernandez,David Hernandez,david_hernandez@icloud.com,(757) 551-7281,Indianapolis,IN,"Indianapolis, IN",CDL-B,Sprinter Van,1-2 Years,IN_REVIEW,5.0,2382,211,95.6,96.7,PASSED,PENDING,CLEAN,NO,27.56,14,2025-10-23,2026-04-01,2026-04-19,NO,NO,
RR-00255,Justin,Foster,Justin Foster,foster.j@icloud.com,(704) 962-8985,Detroit,MI,"Detroit, MI",CDL-B,Cargo Van,5-7 Years,IN_REVIEW,4.1,328,444,90.8,96.5,PENDING,PASSED,MINOR_VIOLATION,NO,26.82,13,2025-05-19,2026-03-09,2026-04-15,YES,NO,
RR-00256,Sean,Garcia,Sean Garcia,sean.garcia@icloud.com,(899) 397-4405,Tampa,FL,"Tampa, FL",CDL-B,Box Truck,3-5 Years,CLEARED,4.2,1779,330,96.9,97.2,PASSED,PASSED,CLEAN,YES,26.55,11,2025-11-26,2026-03-23,2026-04-13,YES,NO,
RR-00257,Antonio,Jones,Antonio Jones,antonio186@gmail.com,(695) 907-9634,New Orleans,LA,"New Orleans, LA",CDL-B,Box Truck,2-3 Years,CLEARED,4.9,1814,693,94.6,94.9,PASSED,PASSED,CLEAN,YES,25.6,7,2025-08-28,2026-03-17,2026-04-08,YES,NO,
RR-00258,Jeremy,Moore,Jeremy Moore,jeremy.moore@outlook.com,(342) 596-5240,Washington,DC,"Washington, DC",CDL-A,Box Truck,7-10 Years,CLEARED,3.4,2202,3,89.1,94.0,PASSED,PASSED,CLEAN,YES,32.0,1,2026-03-04,2026-04-05,2026-04-16,YES,NO,
RR-00259,Rosa,Jones,Rosa Jones,rosa347@icloud.com,(673) 877-4823,Philadelphia,PA,"Philadelphia, PA",CDL-B,Step Van,5-7 Years,IN_REVIEW,5.0,211,576,95.7,95.7,PASSED,PASSED,MINOR_VIOLATION,YES,19.8,15,2025-06-05,2026-03-20,2026-04-19,NO,YES,
RR-00260,Ryan,Gray,Ryan Gray,ryan_gray@outlook.com,(926) 382-6017,Washington,DC,"Washington, DC",CDL-B,Box Truck,7-10 Years,STANDBY,4.9,2029,119,90.5,97.9,PENDING,PENDING,CLEAN,NO,17.24,13,2025-05-08,2026-03-12,2026-04-17,YES,NO,
RR-00261,Reginald,Lee,Reginald Lee,reginald_lee@icloud.com,(935) 494-1797,Atlanta,GA,"Atlanta, GA",CDL-A,Box Truck,10+ Years,CLEARED,5.0,798,680,90.0,93.8,PENDING,PENDING,CLEAN,NO,34.58,6,2025-09-25,2026-03-17,2026-04-14,YES,NO,
RR-00262,Latoya,Walker,Latoya Walker,walker.l@gmail.com,(904) 261-5298,Houston,TX,"Houston, TX",CDL-A,Cargo Van,3-5 Years,CLEARED,5.0,36,442,88.5,97.6,PASSED,PASSED,CLEAN,YES,22.9,3,2026-01-13,2026-03-20,2026-04-12,NO,NO,
RR-00263,Terrance,Garcia,Terrance Garcia,terrance_garcia@yahoo.com,(363) 388-3415,Chicago,IL,"Chicago, IL",CDL-B,Box Truck,3-5 Years,CLEARED,3.2,1985,7,92.7,97.6,PASSED,PASSED,CLEAN,YES,25.33,11,2025-12-20,2026-04-04,2026-04-06,YES,YES,
RR-00264,Leroy,Coleman,Leroy Coleman,leroy560@yahoo.com,(245) 213-3638,Phoenix,AZ,"Phoenix, AZ",CDL-B,Box Truck,5-7 Years,MATCHING,3.7,1628,375,96.4,99.9,PASSED,PENDING,MINOR_VIOLATION,NO,18.38,0,2026-01-22,2026-03-15,2026-04-05,YES,NO,
RR-00265,Luis,White,Luis White,luis_white@yahoo.com,(806) 348-8775,Detroit,MI,"Detroit, MI",CDL-A,Cargo Van,3-5 Years,CLEARED,4.5,1059,123,95.1,99.3,PENDING,PASSED,CLEAN,NO,32.69,8,2025-07-18,2026-03-28,2026-04-18,YES,NO,
RR-00266,Clifton,Rogers,Clifton Rogers,clifton_rogers@outlook.com,(235) 304-9773,Cleveland,OH,"Cleveland, OH",CDL-B,Box Truck,2-3 Years,CLEARED,3.4,341,15,98.2,94.1,PASSED,PASSED,CLEAN,YES,26.68,12,2025-06-28,2026-03-31,2026-04-18,YES,YES,
RR-00267,Patrick,Miller,Patrick Miller,patrick.miller@outlook.com,(925) 807-6937,Pittsburgh,PA,"Pittsburgh, PA",CDL-B,Step Van,3-5 Years,STANDBY,3.1,30,0,89.4,98.6,PASSED,PASSED,CLEAN,YES,22.02,14,2025-04-24,2026-03-31,2026-04-07,YES,NO,
RR-00268,Sheila,Cox,Sheila Cox,sheila420@gmail.com,(388) 846-6082,Denver,CO,"Denver, CO",CDL-B,Box Truck,10+ Years,STANDBY,4.6,446,638,98.5,94.9,PASSED,PENDING,CLEAN,NO,19.44,11,2025-11-21,2026-03-23,2026-04-10,YES,NO,
RR-00269,Justin,Reed,Justin Reed,justin56@yahoo.com,(692) 747-7622,Philadelphia,PA,"Philadelphia, PA",CDL-A,Step Van,2-3 Years,IN_REVIEW,4.7,1861,573,97.4,94.3,PASSED,PASSED,CLEAN,YES,34.01,10,2026-02-05,2026-03-10,2026-04-06,NO,NO,
RR-00270,Keisha,Watson,Keisha Watson,keisha.watson@gmail.com,(983) 246-3155,Kansas City,MO,"Kansas City, MO",CDL-B,Cargo Van,1-2 Years,MATCHING,4.1,1962,402,95.9,98.4,PASSED,PASSED,MINOR_VIOLATION,YES,27.49,1,2026-01-25,2026-03-23,2026-04-05,NO,NO,
RR-00271,Malik,Cooper,Malik Cooper,cooper.m@yahoo.com,(675) 243-7549,Chicago,IL,"Chicago, IL",CDL-B,Cargo Van,1-2 Years,CLEARED,4.7,1710,741,91.9,98.2,PENDING,PASSED,MINOR_VIOLATION,NO,26.65,8,2025-05-14,2026-03-20,2026-04-19,NO,NO,
RR-00272,Floyd,Flores,Floyd Flores,floyd.flores@outlook.com,(394) 910-9990,Chicago,IL,"Chicago, IL",CDL-B,Box Truck,5-7 Years,STANDBY,4.8,1659,298,98.8,95.8,PASSED,PASSED,CLEAN,YES,21.31,14,2025-09-01,2026-03-09,2026-04-13,YES,NO,
RR-00273,Derek,Washington,Derek Washington,derek588@hotmail.com,(952) 947-6618,Philadelphia,PA,"Philadelphia, PA",CDL-B,Box Truck,7-10 Years,IN_REVIEW,4.7,0,597,95.1,94.0,PENDING,PENDING,CLEAN,NO,18.0,4,2025-05-21,2026-03-24,2026-04-07,NO,NO,
RR-00274,Andre,Collins,Andre Collins,andre.collins@gmail.com,(891) 508-5352,Cincinnati,OH,"Cincinnati, OH",CDL-A,Step Van,2-3 Years,CLEARED,4.9,961,236,89.5,98.8,PENDING,PASSED,CLEAN,NO,27.64,1,2025-05-02,2026-03-31,2026-04-06,YES,YES,
RR-00275,Jacob,Peterson,Jacob Peterson,jacob164@yahoo.com,(827) 930-6597,New Orleans,LA,"New Orleans, LA",CDL-A,Step Van,5-7 Years,CLEARED,4.3,1483,254,89.9,95.4,PASSED,PASSED,CLEAN,YES,32.95,1,2025-09-14,2026-03-08,2026-04-14,YES,YES,
RR-00276,James,Lewis,James Lewis,james.lewis@outlook.com,(778) 853-4560,Philadelphia,PA,"Philadelphia, PA",CDL-A,Box Truck,5-7 Years,MATCHING,4.8,651,50,92.0,93.2,PASSED,PASSED,CLEAN,YES,27.58,6,2025-09-23,2026-03-30,2026-04-10,YES,NO,
RR-00277,Shanice,Bryant,Shanice Bryant,shanice.bryant@gmail.com,(783) 406-7420,New York,NY,"New York, NY",CDL-B,Sprinter Van,1-2 Years,IN_REVIEW,3.7,88,212,94.1,93.5,PASSED,PASSED,MINOR_VIOLATION,YES,17.77,15,2025-04-05,2026-03-20,2026-04-06,YES,YES,
RR-00278,Patrick,Perez,Patrick Perez,patrick.perez@hotmail.com,(575) 421-2261,Kansas City,MO,"Kansas City, MO",CDL-A,Box Truck,3-5 Years,STANDBY,4.6,1476,795,94.2,99.0,PASSED,PENDING,MINOR_VIOLATION,NO,24.3,13,2025-06-15,2026-04-02,2026-04-16,YES,NO,
RR-00279,Jacob,Green,Jacob Green,jacob.green@yahoo.com,(578) 491-5791,Pittsburgh,PA,"Pittsburgh, PA",CDL-A,Cargo Van,2-3 Years,CLEARED,3.8,2324,45,99.1,95.6,PENDING,PENDING,CLEAN,NO,32.3,0,2025-09-01,2026-04-04,2026-04-05,YES,NO,
RR-00280,Darius,Hughes,Darius Hughes,darius162@hotmail.com,(364) 685-8199,Memphis,TN,"Memphis, TN",CDL-B,Sprinter Van,1-2 Years,CLEARED,4.7,1360,49,97.3,99.2,PENDING,PASSED,CLEAN,NO,24.31,8,2025-12-25,2026-03-14,2026-04-12,NO,NO,
RR-00281,Malik,Brown,Malik Brown,malik_brown@gmail.com,(515) 837-1018,Cincinnati,OH,"Cincinnati, OH",CDL-A,Box Truck,10+ Years,MATCHING,4.3,1801,331,90.0,98.2,PASSED,PASSED,MINOR_VIOLATION,YES,24.71,13,2025-07-22,2026-03-31,2026-04-07,YES,NO,
RR-00282,Stacey,Gonzalez,Stacey Gonzalez,stacey.gonzalez@icloud.com,(862) 281-1761,Cleveland,OH,"Cleveland, OH",CDL-B,Sprinter Van,5-7 Years,STANDBY,4.1,371,720,89.4,95.1,PASSED,PASSED,CLEAN,YES,26.35,1,2026-02-27,2026-04-03,2026-04-17,YES,YES,
RR-00283,Antonio,Lopez,Antonio Lopez,antonio_lopez@gmail.com,(977) 243-6315,Cleveland,OH,"Cleveland, OH",CDL-B,Box Truck,10+ Years,CLEARED,5.0,997,506,96.7,92.4,PASSED,PASSED,CLEAN,YES,20.83,13,2025-04-09,2026-03-30,2026-04-18,YES,YES,
RR-00284,Darius,Hall,Darius Hall,hall.d@outlook.com,(576) 215-6176,Boston,MA,"Boston, MA",CDL-B,Box Truck,1-2 Years,CLEARED,3.7,1923,514,88.6,96.4,PASSED,PASSED,CLEAN,YES,24.43,10,2025-11-19,2026-03-18,2026-04-16,YES,NO,
RR-00285,Ryan,Butler,Ryan Butler,ryan_butler@hotmail.com,(876) 874-2506,Tampa,FL,"Tampa, FL",CDL-A,Box Truck,10+ Years,MATCHING,4.0,2295,25,88.9,99.4,PASSED,PASSED,CLEAN,YES,22.94,12,2026-03-02,2026-03-15,2026-04-10,YES,NO,
RR-00286,Lauren,Butler,Lauren Butler,lauren_butler@icloud.com,(416) 909-9344,Dallas,TX,"Dallas, TX",CDL-B,Cargo Van,1-2 Years,MATCHING,4.2,1436,132,91.1,96.5,PASSED,PASSED,CLEAN,YES,26.42,4,2025-06-27,2026-03-12,2026-04-18,YES,NO,
RR-00287,Samantha,Anderson,Samantha Anderson,anderson.s@hotmail.com,(230) 667-3773,Cincinnati,OH,"Cincinnati, OH",CDL-B,Cargo Van,1-2 Years,STANDBY,3.0,1366,0,93.3,99.0,PASSED,PASSED,CLEAN,YES,17.76,14,2025-07-16,2026-04-03,2026-04-18,YES,NO,
RR-00288,Jose,Roberts,Jose Roberts,jose_roberts@hotmail.com,(651) 964-9832,Los Angeles,CA,"Los Angeles, CA",CDL-B,Cargo Van,5-7 Years,STANDBY,5.0,717,509,92.5,98.4,PASSED,PASSED,CLEAN,YES,21.03,9,2026-02-25,2026-03-21,2026-04-07,NO,NO,
RR-00289,Amber,Morgan,Amber Morgan,amber300@icloud.com,(549) 367-2808,New York,NY,"New York, NY",CDL-B,Box Truck,2-3 Years,MATCHING,4.5,497,73,98.0,99.8,PENDING,PENDING,CLEAN,NO,17.6,9,2025-10-13,2026-03-27,2026-04-08,NO,YES,
RR-00290,Luis,Cook,Luis Cook,luis_cook@gmail.com,(845) 606-4998,Minneapolis,MN,"Minneapolis, MN",CDL-B,Box Truck,10+ Years,MATCHING,3.9,498,204,99.0,96.4,PASSED,PENDING,CLEAN,NO,21.98,10,2025-07-25,2026-03-30,2026-04-15,YES,NO,
RR-00291,Crystal,Lewis,Crystal Lewis,crystal167@hotmail.com,(225) 910-5417,Indianapolis,IN,"Indianapolis, IN",CDL-B,Step Van,7-10 Years,STANDBY,3.5,334,29,94.5,94.0,PASSED,PASSED,CLEAN,YES,20.21,2,2025-07-22,2026-03-13,2026-04-05,YES,NO,
RR-00292,Carmen,Gonzales,Carmen Gonzales,carmen.gonzales@outlook.com,(577) 699-8402,Tampa,FL,"Tampa, FL",CDL-B,Cargo Van,3-5 Years,MATCHING,3.3,479,10,90.3,100.0,PASSED,PENDING,MINOR_VIOLATION,NO,25.35,0,2025-04-07,2026-03-22,2026-04-19,NO,NO,
RR-00293,Stacey,Reed,Stacey Reed,stacey_reed@outlook.com,(900) 316-1490,San Antonio,TX,"San Antonio, TX",CDL-B,Box Truck,3-5 Years,MATCHING,5.0,2125,256,93.6,97.1,PENDING,PASSED,MINOR_VIOLATION,NO,18.13,11,2025-06-18,2026-03-20,2026-04-10,NO,YES,
RR-00294,Clarence,Thomas,Clarence Thomas,clarence297@icloud.com,(334) 850-6814,Miami,FL,"Miami, FL",CDL-B,Step Van,5-7 Years,STANDBY,5.0,708,544,96.1,96.8,PASSED,PASSED,CLEAN,YES,20.94,2,2025-07-23,2026-03-30,2026-04-05,NO,NO,
RR-00295,Stephanie,Murphy,Stephanie Murphy,stephanie884@icloud.com,(497) 472-6753,Indianapolis,IN,"Indianapolis, IN",CDL-B,Step Van,2-3 Years,STANDBY,4.7,1501,493,88.8,94.9,PASSED,PENDING,CLEAN,NO,26.32,9,2026-01-16,2026-03-27,2026-04-18,YES,NO,
